"marine_site_name","lat","long","geometry","segment_id"
"Abalobadiah Creek",39.56906509,-123.77182,c(-123.77182, 39.56906509),3
"Abalone Cove",33.73778152,-118.37612,c(-118.37612, 33.73778152),13
"Alder Creek; Duxbury",37.89757919,-122.71071,c(-122.71071, 37.89757919),5
"Alegria",34.4671402,-120.27738,c(-120.27738, 34.4671402),11
"Alegria Silvetia",34.46718979,-120.27854,c(-120.27854, 34.46718979),11
"Andrew Molera",36.28060913,-121.86317,c(-121.86317, 36.28060913),8
"Ano Nuevo",37.10778046,-122.29444,c(-122.29444, 37.10778046),7
"Arroyo Hondo",34.47343826,-120.1454,c(-120.1454, 34.47343826),11
"Asilomar",36.6222496,-121.94161,c(-121.94161, 36.6222496),8
"Boat House",34.55387878,-120.61167,c(-120.61167, 34.55387878),10
"Bodega",38.31819916,-123.07365,c(-123.07365, 38.31819916),4
"Bodega Head",38.3103981,-123.0824,c(-123.0824, 38.3103981),4
"Bolinas Point",37.90354156,-122.72721,c(-122.72721, 37.90354156),5
"Bolinas Point Wreck",37.90261841,-122.7242,c(-122.7242, 37.90261841),5
"Buck Gully South",33.58824158,-117.86736,c(-117.86736, 33.58824158),14
"Cabrillo I",32.66947174,-117.2455,c(-117.2455, 32.66947174),NA
"Cabrillo III",32.6658287,-117.24417,c(-117.24417, 32.6658287),NA
"Cape Mendocino",40.3409996,-124.36317,c(-124.36317, 40.3409996),2
"Cardiff Reef",32.99983978,-117.27867,c(-117.27867, 32.99983978),14
"Carpinteria",34.38703156,-119.51407,c(-119.51407, 34.38703156),11
"Cayucos",35.44739151,-120.94982,c(-120.94982, 35.44739151),9
"Cayucos Silvetia",35.44949341,-120.9519,c(-120.9519, 35.44949341),9
"Chimney Rock",37.99383163,-122.96729,c(-122.96729, 37.99383163),5
"China Rocks",36.60615921,-121.95939,c(-121.95939, 36.60615921),8
"Coal Oil Point",34.40692902,-119.87804,c(-119.87804, 34.40692902),11
"Crystal Cove",33.57078171,-117.83773,c(-117.83773, 33.57078171),14
"Damnation Creek",41.65248871,-124.12784,c(-124.12784, 41.65248871),NA
"Dana Point",33.4598999,-117.71475,c(-117.71475, 33.4598999),14
"Davenport Landing",37.02207947,-122.21538,c(-122.21538, 37.02207947),7
"Deer Creek",34.06069183,-118.98221,c(-118.98221, 34.06069183),12
"Del Mar Landing",38.74050903,-123.51086,c(-123.51086, 38.74050903),4
"Diablo",35.22690964,-120.87428,c(-120.87428, 35.22690964),10
"Duck Pond",35.85916901,-121.42233,c(-121.42233, 35.85916901),9
"Ellwood",34.43518829,-119.93078,c(-119.93078, 34.43518829),11
"Enderts",41.68999863,-124.14257,c(-124.14257, 41.68999863),NA
"False Klamath Cove",41.59476089,-124.10643,c(-124.10643, 41.59476089),NA
"Fitzgerald Marine Reserve",37.5216713,-122.51667,c(-122.51667, 37.5216713),6
"Fort Bragg",39.43920135,-123.81841,c(-123.81841, 39.43920135),3
"Garrapata",36.46903992,-121.93444,c(-121.93444, 36.46903992),8
"Gerstle Cove",38.56613922,-123.32919,c(-123.32919, 38.56613922),4
"Government Point",34.4433403,-120.45655,c(-120.45655, 34.4433403),11
"Hazards",35.28966141,-120.88325,c(-120.88325, 35.28966141),9
"Heisler Park",33.54259109,-117.78928,c(-117.78928, 33.54259109),14
"Hopkins",36.62120056,-121.9073,c(-121.9073, 36.62120056),8
"Horseshoe Cove",38.31644058,-123.0721,c(-123.0721, 38.31644058),4
"Kibesillah Hill",39.60411835,-123.78887,c(-123.78887, 39.60411835),3
"La Jolla Caves",32.8432312,-117.2812,c(-117.2812, 32.8432312),14
"Launcher Beach",41.05715561,-124.14532,c(-124.14532, 41.05715561),1
"Lechuza Point",34.03445816,-118.86179,c(-118.86179, 34.03445816),13
"Lompoc Landing",34.71879959,-120.6088,c(-120.6088, 34.71879959),10
"Lucia",36.01438141,-121.5405,c(-121.5405, 36.01438141),8
"Lunada Bay",33.76805115,-118.42276,c(-118.42276, 33.76805115),13
"MacKerricher",39.48259354,-123.80359,c(-123.80359, 39.48259354),3
"Mal Coombs",40.021698,-124.06825,c(-124.06825, 40.021698),2
"Mill Creek",35.97964859,-121.49034,c(-121.49034, 35.97964859),8
"Moat Creek",38.88090897,-123.67475,c(-123.67475, 38.88090897),3
"Muddy Canyon",33.56576157,-117.83314,c(-117.83314, 33.56576157),14
"Mussel Shoals",34.35548019,-119.44073,c(-119.44073, 34.35548019),12
"Natural Bridges",36.94915009,-122.06107,c(-122.06107, 36.94915009),7
"Navy North",32.69260025,-117.25327,c(-117.25327, 32.69260025),NA
"North Jenner Beach",38.45618057,-123.14244,c(-123.14244, 38.45618057),4
"Old Home Beach",41.05527496,-124.13683,c(-124.13683, 41.05527496),1
"Old Stairs",34.06612015,-118.99779,c(-118.99779, 34.06612015),12
"Owl Bluff",34.44257355,-120.45351,c(-120.45351, 34.44257355),11
"Palmers Point",41.13121033,-124.1633,c(-124.1633, 41.13121033),NA
"Paradise Cove",34.01200867,-118.79225,c(-118.79225, 34.01200867),13
