"species_lump","present_below_south","present_within_buffer","present_above_north","present_observations_site","total_observations","sites_in_buffer","sites_present","total_sites","total_counts","percent_years_present","range_edge_category","range_lat","id"
"Abietinaria/Amphisbetia spp",FALSE,FALSE,TRUE,0,242,10,0,103,9,0,"Northern Only Presence","32.78-33.6",1
"Acanthinucella paucilirata",FALSE,FALSE,TRUE,0,313,12,0,108,4,0,"Northern Only Presence","32.78-33.6",1
"Acanthinucella spp",TRUE,TRUE,TRUE,26,313,12,10,108,2214,54.1666666666667,"Continuous Presence","32.78-33.6",1
"Acmaea mitra",FALSE,FALSE,TRUE,0,313,12,0,108,141,0,"Northern Only Presence","32.78-33.6",1
"Acrosiphonia/Cladophora spp",TRUE,FALSE,TRUE,0,242,10,0,103,175,0,"Avoidant","32.78-33.6",1
"Acrosorium ciliolatum",TRUE,TRUE,TRUE,10,242,10,7,103,143,22.7272727272727,"Continuous Presence","32.78-33.6",1
"Aeolidia papillosa",FALSE,FALSE,TRUE,0,313,12,0,108,3,0,"Northern Only Presence","32.78-33.6",1
"Aglaophenia spp",FALSE,FALSE,TRUE,0,242,10,0,103,18,0,"Northern Only Presence","32.78-33.6",1
"Ahnfeltia fastigiata",TRUE,FALSE,TRUE,0,242,10,0,103,117,0,"Avoidant","32.78-33.6",1
"Ahnfeltiopsis linearis",FALSE,FALSE,TRUE,0,242,10,0,103,56,0,"Northern Only Presence","32.78-33.6",1
"Alaria marginata",FALSE,FALSE,TRUE,0,242,10,0,103,1018,0,"Northern Only Presence","32.78-33.6",1
"Alia spp",TRUE,TRUE,TRUE,13,313,12,7,108,1445,33.3333333333333,"Continuous Presence","32.78-33.6",1
"Amphiroa beauvoisii",TRUE,TRUE,FALSE,1,242,10,1,103,2,4.54545454545455,"Northern Range Edge","32.78-33.6",1
"Amphissa columbiana",FALSE,FALSE,TRUE,0,313,12,0,108,31,0,"Northern Only Presence","32.78-33.6",1
"Amphissa versicolor",FALSE,TRUE,TRUE,4,313,12,3,108,299,16.6666666666667,"Southern Range Edge","32.78-33.6",1
"Analipus japonicus",FALSE,FALSE,TRUE,0,242,10,0,103,379,0,"Northern Only Presence","32.78-33.6",1
"Anisocladella pacifica",FALSE,TRUE,TRUE,1,242,10,1,103,4,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Anthopleura artemisia",FALSE,FALSE,TRUE,0,242,10,0,103,3,0,"Northern Only Presence","32.78-33.6",1
"Anthopleura elegantissima",TRUE,TRUE,TRUE,20,242,10,9,103,5148,45.4545454545455,"Continuous Presence","32.78-33.6",1
"Anthopleura sola",TRUE,TRUE,TRUE,22,242,10,9,103,2460,45.4545454545455,"Continuous Presence","32.78-33.6",1
"Anthopleura xanthogrammica",FALSE,TRUE,TRUE,1,242,10,1,103,791,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Antithamnionella spp",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Aplidium spp",FALSE,TRUE,TRUE,4,242,10,3,103,73,18.1818181818182,"Southern Range Edge","32.78-33.6",1
"Aplysia californica",FALSE,TRUE,TRUE,6,313,12,5,108,11,16.6666666666667,"Southern Range Edge","32.78-33.6",1
"Asparagopsis taxiformis",FALSE,TRUE,FALSE,3,242,10,3,103,97,4.54545454545455,"Endemic Presence","32.78-33.6",1
